,Gender,Age,MaritalStatus,EmploymentStatus,LoanAmount,Tenure,MerchantServiceCharge,ExpectedRevenue,LoanDuration,MonthlyRepaymentAmount,AmountReceived,InterestRate,CurrentOutstandingBalance,DefaultCharge,ItemsPurchased,Target,InflationScore,Primelending,Maxlending
0,M,36.1,M,E,52000,5,1040.0,6240.0,151,11648.0,58240.0,0.0,0.0,0.0,others,1.0,14.34,11.68,27.58
1,F,36.1,U,SE,600000,5,2000.0,72000.0,151,134400.0,672000.0,0.0,0.0,0.0,others,1.0,14.34,11.68,27.58
2,M,36.1,U,U,443000,6,2000.0,64045.14,182,84507.52333,511545.14,0.0,0.0,4225.376166666667,others,1.0,14.34,11.68,27.58
3,U,36.1,U,U,21500,5,430.0,2647.41,214,4829.482,24167.928,0.0,0.0,0.0,others,1.0,14.46,11.96,27.37
4,U,36.1,U,U,750000,4,2000.0,76470.0,120,206617.5,826470.0,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
5,M,36.1,S,E,800000,6,2000.0,115657.13,181,152609.5217,915657.13,0.0,0.0,7630.476083333334,electronics,1.0,13.88,11.68,27.65
6,U,36.1,U,U,940000,4,2000.0,95842.57,120,258960.6425,1035842.57,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
7,U,36.1,U,U,3000000,2,2000.0,158402.95,59,1579201.475,3158402.95,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
8,M,27.0,M,E,168000,4,2000.0,7000.0,29,43750.0,175000.0,0.0,0.0,0.0,phone,1.0,13.88,11.68,27.65
9,U,36.1,U,U,315000,4,2000.0,32117.46,120,86779.365,347117.46,0.0,0.0,0.0,computers,1.0,13.88,11.68,27.65
10,M,34.0,S,E,65000,4,1300.0,6627.41,120,17906.8525,71627.41,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
11,M,32.0,S,E,90000,5,1800.0,11082.2,151,20216.44,101082.2,0.0,0.0,0.0,electronics,1.0,13.88,11.68,27.65
12,M,31.0,S,E,50000,4,1000.0,5098.01,120,13774.5025,55098.01,0.0,0.0,0.0,phone,1.0,13.88,11.68,27.65
13,F,30.0,S,E,150000,4,2000.0,6625.0,31,39156.25,156625.0,0.0,0.0,0.0,phone,1.0,13.88,11.68,27.65
14,F,36.0,M,E,30000,4,600.0,3058.81,120,8264.7025,33058.81,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
15,F,28.0,S,E,292000,4,2000.0,29772.37,120,80443.0925,324910.0075,0.0,0.0,3038.1181250000004,phone,1.0,13.88,11.68,27.65
16,M,30.0,S,E,60000,5,1200.0,4447.63,151,12889.526,64477.63,0.0,0.0,0.0,appliances,1.0,13.88,11.68,27.65
17,U,36.1,U,U,360000,4,2000.0,36705.67,120,99176.4175,397029.2525,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
18,M,36.1,S,SE,362000,6,2000.0,52334.85,181,69055.80833,414334.85,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
19,M,36.1,S,SE,273000,6,2000.0,39468.0,181,52078.0,312468.0,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
20,M,36.1,U,U,80000,4,1600.0,8156.81,120,22039.2025,88156.81,0.0,0.0,0.0,appliances,1.0,13.88,11.68,27.65
21,M,31.0,S,E,300000,4,2000.0,13645.0,41,78411.25,313645.0,0.0,0.0,0.0,electronics,1.0,13.88,11.68,27.65
22,U,36.1,U,U,500000,1,2000.0,20000.0,31,520000.0,520000.0,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
23,M,36.1,M,SE,187000,4,2000.0,19066.55,120,51516.6375,206066.55,0.0,0.0,0.0,others,1.0,13.88,11.68,27.65
24,M,33.0,S,E,200000,6,2000.0,36420.96,181,39403.49333,157613.9733,0.0,78806.98667,1970.1745,appliances,0.0,13.88,11.68,27.65
25,F,28.0,S,E,100000,6,2000.0,18210.48,181,19701.74667,78806.98667,0.0,39403.49333,985.0873333333334,others,0.0,13.88,11.68,27.65
26,F,36.1,U,SE,3000000,2,2000.0,158402.9,59,1579201.45,3158402.9,0.0,0.0,0.0,others,1.0,13.89,11.68,27.65
27,M,43.0,M,E,150000,6,2000.0,27315.72,181,29552.62,177315.72,0.0,0.0,0.0,electronics,1.0,13.89,11.68,27.65
28,M,27.0,S,E,150000,4,2000.0,15294.03,120,41323.5075,165294.03,0.0,0.0,0.0,others,1.0,13.89,11.68,27.65
29,U,36.1,S,E,120000,6,2000.0,21000.0,184,23500.0,40000.0,0.0,54000.0,0.0,appliances,0.0,14.46,11.96,27.37
30,F,36.1,U,U,3000000,6,2000.0,420000.0,181,570000.0,3420000.0,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
31,U,36.1,U,U,1000000,6,2000.0,157500.0,182,192916.67,1157500.0,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
32,F,28.0,S,E,50000,5,1000.0,7743.7,150,11548.74,46194.96,0.0,11548.74,0.0,others,0.0,13.89,11.96,27.37
33,M,37.0,M,SE,130000,4,2000.0,13254.82,120,35813.705,143291.115,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
34,F,1.0,S,E,60000,3,1200.0,4862.74,89,21620.91333,64862.74,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
35,M,35.0,S,E,550000,4,2000.0,56078.1,120,151519.525,606078.1,0.0,0.0,0.0,phone,1.0,13.89,11.96,27.37
36,F,28.0,S,E,100000,4,2000.0,10196.02,122,27549.005,110599.005,0.0,0.0,0.0,appliances,1.0,13.89,11.96,27.37
37,M,35.0,S,E,112000,4,2000.0,11419.54,120,30854.885,123419.655,0.0,0.0,0.0,appliances,1.0,13.89,11.96,27.37
38,M,28.0,S,E,180000,6,2000.0,7500.0,28,31250.0,187500.0,0.0,0.0,0.0,electronics,1.0,13.89,11.96,27.37
39,M,29.0,S,E,300000,4,2000.0,30588.05,120,82647.0125,40000.0,0.0,290588.05,37191.15562499999,others,0.0,13.89,11.96,27.37
40,F,30.0,S,E,320000,4,2000.0,13800.0,120,83450.0,333800.0,0.0,0.0,0.0,appliances,1.0,13.89,11.96,27.37
41,F,34.0,S,E,500000,6,2000.0,91052.4,181,98508.73333,468509.2033,0.0,122543.1967,19552.57366666667,others,0.0,13.89,11.96,27.37
42,M,31.0,S,E,100000,4,2000.0,10196.02,120,27549.005,110196.02,0.0,0.0,0.0,appliances,1.0,13.89,11.96,27.37
43,M,27.0,S,E,500000,6,2000.0,91052.4,181,98508.73333,402500.0133,0.0,188552.3867,0.0,appliances,0.0,13.89,11.96,27.37
44,F,27.0,S,E,100000,5,2000.0,15487.4,150,23097.48,46194.96,0.0,69292.44,1154.874,others,0.0,13.89,11.96,27.37
45,F,30.0,S,E,150000,6,2000.0,27315.72,181,29552.62,177315.72,0.0,0.0,0.0,others,0.0,13.89,11.96,27.37
46,M,25.0,S,E,75000,4,1500.0,7647.01,120,20661.7525,82647.7575,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
47,M,31.0,S,E,80000,4,1600.0,8156.81,120,22039.2025,88156.81,0.0,0.0,2203.96025,others,0.0,13.89,11.96,27.37
48,M,25.0,S,E,203500,4,2000.0,20748.9,120,56062.225,226124.455,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
49,M,36.1,U,SE,4000000,6,2000.0,728419.23,181,788069.8717,4728419.23,0.0,0.0,0.0,others,0.0,13.89,11.96,27.37
50,F,33.0,S,E,30000,1,600.0,1200.0,28,31200.0,31200.0,0.0,0.0,0.0,furniture,1.0,13.89,11.96,27.37
51,M,28.0,S,E,450000,6,2000.0,18000.0,181,78000.0,418000.0,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
52,F,31.0,S,E,102000,6,2000.0,18574.69,181,20095.78167,120587.3483,0.0,0.0,0.0,appliances,1.0,13.89,11.96,27.37
53,M,34.0,M,E,100000,4,2000.0,10196.02,152,27549.005,115180.99,0.0,0.0,0.0,others,1.0,13.89,11.96,27.37
54,M,34.0,S,E,200000,4,2000.0,20392.04,122,55098.01,130198.01,0.0,90194.03,1754.8010000000004,computers,0.0,13.83,11.84,26.61
55,M,24.0,S,E,730000,6,2000.0,132936.51,184,143822.7517,437647.755,0.0,425288.755,7191.025083333334,computers,0.0,13.83,11.84,26.61
56,M,36.1,U,U,2000000,2,2000.0,120784.31,61,1060392.155,200000.0,0.0,1920784.31,192078.432,others,0.0,13.83,11.84,26.61
57,M,30.0,S,E,500000,3,2000.0,40522.81,92,180174.27,540522.81,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
58,M,34.0,S,E,30000,4,600.0,3058.81,122,8264.7025,33059.4075,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
59,M,39.0,M,E,2000000,3,2000.0,162091.24,92,720697.08,2162091.24,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
60,F,24.0,S,E,120000,6,2000.0,21852.58,184,23642.09667,141852.58,0.0,0.0,0.0,others,0.0,13.83,11.84,26.61
61,F,27.0,S,E,50000,4,1000.0,5098.01,122,13774.5025,55098.01,0.0,0.0,191.17512500000004,others,0.0,13.83,11.84,26.61
62,F,25.0,S,E,100000,4,2000.0,10196.02,122,27549.005,34999.995,0.0,75196.025,12397.05225,machine,0.0,13.83,11.84,26.61
63,M,40.0,S,E,105000,4,2000.0,10705.82,122,28926.455,117499.995,0.0,0.0,3127.9370000000004,others,1.0,13.83,11.84,26.61
64,M,27.0,S,E,230000,6,2000.0,41884.11,184,45314.01833,271884.11,0.0,0.0,0.0,machine,1.0,13.83,11.84,26.61
65,F,28.0,S,E,100000,6,2000.0,18210.48,184,19701.74667,118223.24,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
66,M,28.0,S,E,200000,6,2000.0,36420.96,184,39403.49333,120000.01,0.0,116420.95,1910.523666666667,appliances,0.0,13.83,11.84,26.61
67,F,35.0,S,E,100000,4,2000.0,10196.02,122,27549.005,65049.01,0.0,45147.01,2759.8010000000004,others,0.0,13.83,11.84,26.61
68,M,38.0,S,E,300000,1,2000.0,12000.0,31,312000.0,312000.0,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
69,M,29.0,S,E,200000,6,2000.0,36420.96,184,39403.49333,238391.1367,0.0,39403.49333,1970.1746666666668,others,0.0,13.83,11.84,26.61
70,M,31.0,S,E,540000,2,2000.0,36717.36,122,288358.68,576717.36,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
71,F,38.0,S,E,130000,6,2000.0,23673.63,184,25612.27167,153704.8183,0.0,0.0,1280.6135833333335,others,0.0,13.83,11.84,26.61
72,F,29.0,S,E,87000,4,1740.0,10002.79,122,24250.6975,99449.9925,0.0,0.0,2425.1397500000003,others,1.0,13.83,11.84,26.61
73,M,30.0,S,E,150000,4,2000.0,17246.19,122,41811.5475,61811.5475,0.0,105434.6425,8362.309500000001,appliances,0.0,13.83,11.84,26.61
74,M,27.0,S,E,60000,4,1200.0,6898.48,122,16724.62,67773.24,0.0,0.0,836.231,others,1.0,13.83,11.84,26.61
75,M,35.0,S,E,50000,4,1000.0,5748.73,122,13937.1825,23000.0025,0.0,32748.7275,1881.15425,appliances,0.0,13.83,11.84,26.61
76,F,44.0,S,E,300000,6,2000.0,54631.44,184,59105.24,236560.72,0.0,118070.72,0.0,others,0.0,13.83,11.84,26.61
77,M,57.0,M,E,50000,4,1000.0,5531.5,122,13882.875,55565.75,0.0,0.0,0.0,phone,1.0,13.83,11.84,26.61
78,M,37.0,S,E,100000,6,2000.0,18210.48,184,19701.74667,100402.7333,0.0,17807.74667,2010.5246666666667,others,0.0,13.83,11.84,26.61
79,F,28.0,S,E,50000,4,1000.0,5098.01,122,13774.5025,55099.0075,0.0,0.0,0.0,phone,1.0,13.83,11.84,26.61
80,U,36.1,U,E,680000,4,2000.0,69332.92,122,187333.23,749333.12,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
81,M,34.0,S,E,300000,4,2000.0,30588.05,122,82647.0125,0.0,0.0,330588.05,37191.15562499999,machine,0.0,13.83,11.84,26.61
82,F,27.0,S,E,255000,4,2000.0,25999.85,122,70249.9625,281300.0075,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
83,F,47.0,S,E,50000,4,1000.0,5531.5,122,13882.875,55531.5,0.0,0.0,1564.863,others,0.0,13.83,11.84,26.61
84,F,35.0,S,E,300000,6,2000.0,54631.44,184,59105.24,25000.0,0.0,211420.96,26597.358,others,0.0,13.83,11.84,26.61
